category,title,description,tips,points,badge_awarded,completion_limit,frequency,verification_type,badge_name,badge_description
Around Town,Ride your bike to an after school activity,"Hey, it's time to swap four wheels for the ultimate eco-ride! Gear up, pedal on, and let's make a statement while cruising to the after-school scene. Each turn of the wheel scores you major carbon reduction points, so grab your crew, pump up the tunes, and let's hit the streets. Bikes out, vibes up—let's ride! 🚲✨",🚲 Just do it!,100,1,1,daily,photo_comment,Activity Accessor,"Earned by those who extend their cycling beyond the classroom to after school activities. This badge applauds your dedication to staying active and environmentally conscious, highlighting the bike's role in supporting a balanced and engaged lifestyle."
Town Quests,Clean clothes using clean energy.,"Go to the laundromat by bike. Or if you have access to a washer, air dry your clothes to save lots on your energy bill and for the environment.","Elevate your laundry game and indulge in the freshest scents! Set up a snazzy clothesline outdoors for that unbeatable, fresh-air dry. 🌞✨.🚲",100,4,4,weekly,photo_comment,Clean Cycle Laundromat,"For incorporating your bicycle into the routine quest of laundry, this badge applauds your innovative use of clean energy for everyday chores. Your commitment to cycling extends into all aspects of life, promoting a holistic approach to eco-friendly living."
Around Town,Ride your bike to work for a week.,"Hey, eco-warrior! Ready to kick your commute up a notch and ride the green wave to work? Strap on that helmet, grab your trusty steed, and let's pedal our way to a cleaner planet! Each week you ditch the gas guzzler for two wheels, you're not just saving time and money, you're racking up those sweet, sweet carbon reduction points. So let's make this a habit, one pedal stroke at a time. ","Keep on keeping on, all month long...you can repeat this quest each week.",120,1,1,weekly,photo_comment,Commuter Champion,"Earned by choosing the bike as your daily commute to work, this badge honors your contribution to reducing traffic congestion and pollution. Your commitment showcases a model for integrating fitness and environmental stewardship into daily life."
Town Quests,Need to get something delivered? Use a pedal-powered delivery service.,"for food deliveries, groceries, letters, packages...",https://pedalersexpress.com/our-services/.  https://emeraldcitypedicab.wixsite.com/emeraldcitypedicab,100,4,4,weekly,photo,Eco Courier Champion,"For choosing pedal-powered delivery services for your delivery needs, this badge honors your commitment to minimizing environmental impact. Your decision supports sustainable logistics and contributes to a greener, more livable urban space."
Around Town,Take a pedicab ride,"Two or three people riding together, how fun!",https://emeraldcitypedicab.wixsite.com/emeraldcitypedicab,100,3,3,daily,photo_comment,Eco Joy Rider,"Earned the 'Eco Joy Rider' badge by taking a pedicab ride, making a sustainable choice for your journey. Keep cruising carbon-free and leading the way toward a greener future!"
Town Quests,Run an errand by bike,Forget taking the car and hop on your bike instead.,"See if you can run all of your errands by bike for more carbon ""reduction"" points.",100,3,3,weekly,photo_comment,Errand Runner Extraordinaire,"This badge celebrates the choice to run errands by bike, showcasing a commitment to eco-friendly transportation and the versatility of cycling. Whether it's picking up groceries or dropping off library books, your pedal-powered quests contribute to a healthier planet and community."
Around Town,Show something you like to do by bike.,"With this quest, you can show off things you like to do by bike.",🚲✨,100,2,2,daily,photo_comment,Everyday Biking Enthusiast,"The Everyday Biking Enthusiast badge is awarded to participants who share their most frequent biking activity with us. Everyday Biking Enthusiasts inspire others to embrace cycling as a regular part of their lives. By showcasing your routine biking activity, you encourage others to discover the joy of pedal-powered adventures and integrate cycling into their daily routines. Tag us and share your biking routine to earn this badge and join the community of everyday cyclists! 🚲✨"
Around Town,Drop by your neighborhood bike shop for some wheely good fun! 🚲🛍️,"There are several bike shops participating in this game. Go to one, find and scan a QR code for the game then follow the instructions of how to tag the bike shop and add it to your social media story to complete this quest.","Bike shops that are participating in this game are:
Arriving Bike Bike
.
.
.
And here is a map of bike shop locations: https://maps.app.goo.gl/596cyWQvCvYbRSc37",75,5,5,weekly,photo_comment,Local Supporter Bike Shop Patron,"For visiting a local bike shop and sharing your experience on social media, this badge acknowledges your support for the cycling community and local businesses. Your engagement helps foster a vibrant local cycling culture."
Family,Transport kiddos by bike.,"You know, by starting them young, you're not just teaching them to ride—you're instilling a biking lifestyle that's fun, healthy, and eco-conscious. So grab the kiddos, lead by example, and let's pedal our way to adventure! Who says family time can't be wheely awesome?",🚴🚴🚴🚴🚴,150,1,1,daily,photo_comment,Next Generation Cyclist,"This badge recognizes your role in instilling a love for cycling in young hearts. By starting them young, you teach valuable lessons on a healthy, sustainable lifestyle, ensuring a future generation of conscious cyclists."
Town Quests,Bike your way to the grocery store  🚲🍏🛒,"Forget taking the car and hop on your bike instead.
Or consider getting groceries delivered by bike. Sundance Natural Foods (748 E 24th St) who offer online/email ordering",Bring a backpack or panniers or trailer in the case of a lot of groceries.,100,4,4,weekly,photo,Pedal Powered Provisioner,"Earned by choosing the sustainable path of bicycling for grocery runs, this badge celebrates your dedication to reducing carbon emissions and traffic congestion. Your efforts showcase a healthy, eco-friendly lifestyle that inspires others to consider alternative modes of transportation for daily quests."
Around Town,Ride your bike to school.,Bicycles can give you independance and freedom,"Do it everyday for more carbon ""reduction"" points.",100,1,1,daily,photo_comment,Pedal Scholar,"Awarded for embracing bicycles as a means of travel to school, this badge recognizes your independence and the freedom two wheels can provide. It celebrates your choice to combine daily exercise with a sustainable commute, setting a positive example for peers."
